Key,Name,Course,Course Lenght,Length(Weeks),Min,Max, AM Tuition fee (Offshore), AM Tuition fee (Onshore), PM Tuition fee (Offshore), PM Tuition fee (Onshore), Enrolment Fee, Material Fee,Mat Week frecuency, Max week Mat, Morning Timetable,Afternoon Timetable,Night Timetable,Amenities,City,Address,Close to,Id,Lat,Long
Lyceum english Language - Melbourne,Lyceum english Language,General English,52,24+ weeks,24,52, $ 220.00 , $ 180.00 ,,, $ 200.00 , $ 50.00 ,10,,   Lun - Vie 8:30am - 12:45pm,,,"Salones declase modernos, Salon de descanso, Cocina moderna, Sala de computacion con recursos de estudio, Aire acondicionado, Internet gratis",Melbourne,"131 Queen St, Melbourne","Estacion de tren de Flinders street, Acuario de Melbourne, Centro comercial de Emporium, Myer, Bourke street Mall",13,-37.8155047,144.9606243
Lyceum english Language - Melbourne,Lyceum english Language,IELTS Preparatory,0,1-12 weeks,1,12, $ 250.00 , $ 200.00 ,,, $ 200.00 , $ 50.00 ,10,,   Lun - Vie 8:30am - 12:45pm,,,"Salones declase modernos, Salon de descanso, Cocina moderna, Sala de computacion con recursos de estudio, Aire acondicionado, Internet gratis",Melbourne,"131 Queen St, Melbourne","Estacion de tren de Flinders street, Acuario de Melbourne, Centro comercial de Emporium, Myer, Bourke street Mall",13,-37.8155047,144.9606243
Lyceum english Language - Melbourne,Lyceum english Language,IELTS Preparatory,0,13-23 weeks,13,23, $ 240.00 , $ 180.00 ,,, $ 200.00 , $ 50.00 ,10,,   Lun - Vie 8:30am - 12:45pm,,,"Salones declase modernos, Salon de descanso, Cocina moderna, Sala de computacion con recursos de estudio, Aire acondicionado, Internet gratis",Melbourne,"131 Queen St, Melbourne","Estacion de tren de Flinders street, Acuario de Melbourne, Centro comercial de Emporium, Myer, Bourke street Mall",13,-37.8155047,144.9606243
Lyceum english Language - Melbourne,Lyceum english Language,IELTS Preparatory,0,24+ weeks,24,52, $ 220.00 , $ 180.00 ,,, $ 200.00 , $ 50.00 ,10,,   Lun - Vie 8:30am - 12:45pm,,,"Salones declase modernos, Salon de descanso, Cocina moderna, Sala de computacion con recursos de estudio, Aire acondicionado, Internet gratis",Melbourne,"131 Queen St, Melbourne","Estacion de tren de Flinders street, Acuario de Melbourne, Centro comercial de Emporium, Myer, Bourke street Mall",13,-37.8155047,144.9606243
LAB Languages - Melbourne,LAB Languages,General English,52,All,1,52, $ 260.00 , $ 260.00 , $ 220.00 , $ 220.00 , $ 220.00 , $ 10.00 ,1,,   Lun - Vie 8:30am - 2:30pm,   Lun - Vie 5:00pm - 9:15pm,,"Sala de computacion, Libreria con recursos, Fotocopiadora e impresoras, Acceso a silla de ruedas, Internet gratis, Aire acondicionado, Cocina moderna, Cafeteria, ",Melbourne,"8/250 Collins St, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",14,-37.8154515,144.9654643
Lonsdale Institute - Melbourne,Lonsdale Institute,General English,52,All,1,52, $ 235.00 , $ 235.00 , $ 185.00 , $ 185.00 , $ 220.00 , $ 70.00 ,12,,   Lun - Vie 8:45am - 1:00pm,Lun -Fri 4:45pm - 9:00pm,,"Sala de computacion, Cocina, Salon de descanso",Melbourne,"Level 1, 277 Flinders Lane, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",15,-37.8171905,144.9652666
Lonsdale Institute - Melbourne,Lonsdale Institute,IELTS Preparatory,38,All,1,52, $ 235.00 , $ 235.00 ,,, $ 220.00 , $ 70.00 ,12,,   Lun - Vie 8:45am - 1:00pm,,,"Sala de computacion, Cocina, Salon de descanso",Melbourne,"Level 1, 277 Flinders Lane, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",15,-37.8171905,144.9652666
Lonsdale Institute - Melbourne,Lonsdale Institute,Academic,38,All,1,52, $ 235.00 , $ 235.00 ,,, $ 220.00 , $ 70.00 ,12,,   Lun - Vie 8:45am - 1:00pm,,,"Sala de computacion, Cocina, Salon de descanso",Melbourne,"Level 1, 277 Flinders Lane, Melbourne","Estacion de tren de Flinders street, Catedral de San Paul, Federation Square, Melbourne Town Hall, Biblioteca de la ciudad Flinders lane",15,-37.8171905,144.9652666
Melbourne College - Melbourne,Melbourne College,General English,52,All,1,52, $ 250.00 , $ 250.00 ,,, $ 100.00 , $ 15.00 ,,,   Lun - Vie 8:30am - 1:00pm,,,"Sala de actividades, Internet gratis, Sala de descanso, Salones modernos, Cocina moderna, ",Melbourne,"Level 13, 190 Queen street, Melbourne","Centro comercial Emporium, Myer, Bourke street Mall, Queen Victoria Market, Melbourne Town Hall",16,-37.8140304,144.9607964
Milestones English Academy - Melbourne,Milestones English Academy,General English,52,1-23 weeks,1,23, $ 225.00 , $ 225.00 , $ 200.00 , $ 200.00 , $ 150.00 , $ 5.00 ,1,,   Lun - Vie 8:30am - 12:45pm,   Lun - Vie 4:30am - 8:45pm,,"Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"11/190 Queen St, Melbourne","Centro comercial Emporium, Myer, Bourke street Mall, Queen Victoria Market, Melbourne Town Hall",17,-37.8140304,144.9607964
Milestones English Academy - Melbourne,Milestones English Academy,General English,52,24+ weeks,24,52, $ 220.00 , $ 220.00 , $ 200.00 , $ 200.00 , $ 150.00 , $ 5.00 ,1,,   Lun - Vie 1:00pm - 5:15pm,   Lun - Vie 4:30am - 8:45pm,,"Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"11/190 Queen St, Melbourne","Centro comercial Emporium, Myer, Bourke street Mall, Queen Victoria Market, Melbourne Town Hall",17,-37.8140304,144.9607964
Milestones English Academy - Melbourne,Milestones English Academy,IELTS Preparatory,0,1-23 weeks,1,23, $ 225.00 , $ 225.00 , $ 200.00 , $ 200.00 , $ 150.00 , $ 5.00 ,1,,   Lun - Vie 8:30am - 12:45pm,   Lun - Vie 5:30am - 9:45pm,,"Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"11/190 Queen St, Melbourne","Centro comercial Emporium, Myer, Bourke street Mall, Queen Victoria Market, Melbourne Town Hall",17,-37.8140304,144.9607964
Milestones English Academy - Melbourne,Milestones English Academy,IELTS Preparatory,0,24+ weeks,24,52, $ 220.00 , $ 220.00 , $ 200.00 , $ 200.00 , $ 150.00 , $ 5.00 ,1,,   Lun - Vie 1:00pm - 5:15pm,   Lun - Vie 5:30am - 9:45pm,,"Sala de reuniones, Aire acondicionado, Salones modernos",Melbourne,"11/190 Queen St, Melbourne","Centro comercial Emporium, Myer, Bourke street Mall, Queen Victoria Market, Melbourne Town Hall",17,-37.8140304,144.9607964
Holmes-OHC - Melbourne,Holmes-OHC,General English,52,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,General English,52,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,General English,52,13-23 weeks,13,23, $ 244.00 , $ 244.00 ,,, $ 250.00 , $ 7.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,General English,52,24-35 weeks,24,35, $ 232.00 , $ 232.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,General English,52,36+ weeks,36,52, $ 228.00 , $ 228.00 ,,, $ 250.00 , $ 6.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,IELTS Preparatory,0,1-4 weeks,1,4, $ 268.00 , $ 268.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
Holmes-OHC - Melbourne,Holmes-OHC,IELTS Preparatory,0,5-12 weeks,5,12, $ 256.00 , $ 256.00 ,,, $ 250.00 , $ 8.00 ,1,,   Lun - Vie 9:00am - 3:00pm,,,"Grandes auditorios, Salones modernos, Internet gratis, Libreria moderna, Salon de computacion, Salones de descanso y estudio, Sala de comidas y recreacion",Melbourne,"185 Spring St, Melbourne","Casa del Parlamento, Estacion de tren del Parlamento, Jardines del Parlamento, Teatro de comedia, Jardines de Carlton, Museo de Melbourne, Catedral de San Patrick",18,-37.8102902,144.972168
